i:0 idy_max:2089 MaxAccum:257
i:5 idy_max:623 MaxAccum:307
i:10 idy_max:2019 MaxAccum:193
i:15 idy_max:2111 MaxAccum:256
i:20 idy_max:693 MaxAccum:239
i:25 idy_max:2049 MaxAccum:307
i:30 idy_max:3533 MaxAccum:371
i:35 idy_max:3563 MaxAccum:388
i:40 idy_max:1628 MaxAccum:444
i:45 idy_max:1628 MaxAccum:674
i:50 idy_max:2192 MaxAccum:291
i:55 idy_max:1114 MaxAccum:388
i:60 idy_max:3607 MaxAccum:538
i:65 idy_max:3574 MaxAccum:228
i:70 idy_max:1625 MaxAccum:584
i:75 idy_max:1192 MaxAccum:334
i:80 idy_max:2623 MaxAccum:127
i:85 idy_max:1472 MaxAccum:293
i:90 idy_max:82 MaxAccum:467
i:95 idy_max:1827 MaxAccum:573
i:100 idy_max:1827 MaxAccum:351
i:105 idy_max:2734 MaxAccum:531
i:110 idy_max:2786 MaxAccum:630
i:115 idy_max:1853 MaxAccum:356
i:120 idy_max:35 MaxAccum:422
i:125 idy_max:286 MaxAccum:229
i:130 idy_max:587 MaxAccum:577
i:135 idy_max:179 MaxAccum:626
i:140 idy_max:587 MaxAccum:832
i:145 idy_max:447 MaxAccum:293
i:150 idy_max:653 MaxAccum:275
i:155 idy_max:1583 MaxAccum:162
i:160 idy_max:1583 MaxAccum:165
i:165 idy_max:2254 MaxAccum:284
i:170 idy_max:2192 MaxAccum:399
i:175 idy_max:3520 MaxAccum:483
i:180 idy_max:1628 MaxAccum:358
i:185 idy_max:2196 MaxAccum:305
i:190 idy_max:3563 MaxAccum:400
i:195 idy_max:1628 MaxAccum:504
i:200 idy_max:3610 MaxAccum:704
i:205 idy_max:1628 MaxAccum:713
i:210 idy_max:2962 MaxAccum:366
i:215 idy_max:3574 MaxAccum:266
i:220 idy_max:3056 MaxAccum:524
i:225 idy_max:2924 MaxAccum:451
i:230 idy_max:2303 MaxAccum:294
i:235 idy_max:3590 MaxAccum:421
i:240 idy_max:2723 MaxAccum:193
i:245 idy_max:3237 MaxAccum:509
i:250 idy_max:3607 MaxAccum:444
i:255 idy_max:2678 MaxAccum:247
i:260 idy_max:1333 MaxAccum:285
i:265 idy_max:1827 MaxAccum:690
i:270 idy_max:2501 MaxAccum:227
i:275 idy_max:1988 MaxAccum:346
i:280 idy_max:69 MaxAccum:640
i:285 idy_max:1827 MaxAccum:359
i:290 idy_max:2199 MaxAccum:400
i:295 idy_max:1052 MaxAccum:449
i:300 idy_max:46 MaxAccum:411
i:305 idy_max:723 MaxAccum:379
i:310 idy_max:548 MaxAccum:418
i:315 idy_max:3161 MaxAccum:399
i:320 idy_max:587 MaxAccum:499
i:325 idy_max:587 MaxAccum:653
i:330 idy_max:261 MaxAccum:622
i:335 idy_max:2231 MaxAccum:351
i:340 idy_max:2254 MaxAccum:264
i:345 idy_max:429 MaxAccum:295
i:350 idy_max:1650 MaxAccum:294
i:355 idy_max:3621 MaxAccum:263
i:360 idy_max:3067 MaxAccum:226
i:365 idy_max:3459 MaxAccum:421
i:370 idy_max:1650 MaxAccum:429
i:375 idy_max:3563 MaxAccum:372
i:380 idy_max:1628 MaxAccum:599
i:385 idy_max:1650 MaxAccum:497
i:390 idy_max:3610 MaxAccum:777
i:395 idy_max:2991 MaxAccum:394
i:400 idy_max:2873 MaxAccum:488
i:405 idy_max:3564 MaxAccum:317
i:410 idy_max:3044 MaxAccum:440
i:415 idy_max:3071 MaxAccum:761
i:420 idy_max:2668 MaxAccum:169
i:425 idy_max:1829 MaxAccum:262
i:430 idy_max:3607 MaxAccum:575
i:435 idy_max:3057 MaxAccum:639
i:440 idy_max:3607 MaxAccum:584
i:445 idy_max:2909 MaxAccum:441
i:450 idy_max:1625 MaxAccum:589
i:455 idy_max:1988 MaxAccum:384
i:460 idy_max:2657 MaxAccum:171
i:465 idy_max:1255 MaxAccum:361
i:470 idy_max:3078 MaxAccum:402
i:475 idy_max:2288 MaxAccum:582
i:480 idy_max:2666 MaxAccum:249
i:485 idy_max:342 MaxAccum:430
i:490 idy_max:1028 MaxAccum:504
i:495 idy_max:587 MaxAccum:516
i:500 idy_max:286 MaxAccum:571
i:505 idy_max:2222 MaxAccum:333
i:510 idy_max:2032 MaxAccum:303
i:515 idy_max:3621 MaxAccum:279
i:520 idy_max:3591 MaxAccum:376
i:525 idy_max:3459 MaxAccum:411
i:530 idy_max:1628 MaxAccum:508
i:535 idy_max:1650 MaxAccum:407
i:540 idy_max:1629 MaxAccum:869
i:545 idy_max:3610 MaxAccum:656
i:550 idy_max:3607 MaxAccum:565
i:555 idy_max:1254 MaxAccum:453
i:560 idy_max:2433 MaxAccum:496
i:565 idy_max:2275 MaxAccum:290
i:570 idy_max:2155 MaxAccum:232
i:575 idy_max:3051 MaxAccum:523
i:580 idy_max:2768 MaxAccum:319
i:585 idy_max:2623 MaxAccum:179
i:590 idy_max:2275 MaxAccum:287
i:595 idy_max:3028 MaxAccum:633
i:600 idy_max:2631 MaxAccum:301
i:605 idy_max:2564 MaxAccum:304
i:610 idy_max:3592 MaxAccum:480
i:615 idy_max:2192 MaxAccum:474
i:620 idy_max:2643 MaxAccum:346
i:625 idy_max:2909 MaxAccum:470
i:630 idy_max:1959 MaxAccum:715
i:635 idy_max:2721 MaxAccum:453
i:640 idy_max:3000 MaxAccum:563
i:645 idy_max:3000 MaxAccum:482
i:650 idy_max:2998 MaxAccum:375
i:655 idy_max:3119 MaxAccum:485
i:660 idy_max:568 MaxAccum:342
i:665 idy_max:179 MaxAccum:428
i:670 idy_max:179 MaxAccum:391
i:675 idy_max:261 MaxAccum:403
i:680 idy_max:2231 MaxAccum:591
i:685 idy_max:790 MaxAccum:317
i:690 idy_max:1650 MaxAccum:300
i:695 idy_max:3463 MaxAccum:519
i:700 idy_max:3591 MaxAccum:316
i:705 idy_max:2202 MaxAccum:370
i:710 idy_max:3591 MaxAccum:503
i:715 idy_max:2202 MaxAccum:831
i:720 idy_max:2085 MaxAccum:396
i:725 idy_max:1254 MaxAccum:365
i:730 idy_max:2437 MaxAccum:566
i:735 idy_max:3610 MaxAccum:602
i:740 idy_max:2085 MaxAccum:274
i:745 idy_max:1254 MaxAccum:400
i:750 idy_max:2259 MaxAccum:312
i:755 idy_max:3607 MaxAccum:686
i:760 idy_max:2155 MaxAccum:249
i:765 idy_max:2085 MaxAccum:302
i:770 idy_max:2326 MaxAccum:402
i:775 idy_max:3597 MaxAccum:262
i:780 idy_max:2085 MaxAccum:317
i:785 idy_max:2353 MaxAccum:389
i:790 idy_max:3607 MaxAccum:481
i:795 idy_max:2085 MaxAccum:287
i:800 idy_max:3028 MaxAccum:722
i:805 idy_max:2566 MaxAccum:126
i:810 idy_max:2570 MaxAccum:138
i:815 idy_max:2713 MaxAccum:405
i:820 idy_max:2909 MaxAccum:487
i:825 idy_max:2278 MaxAccum:397
i:830 idy_max:2288 MaxAccum:377
i:835 idy_max:548 MaxAccum:237
i:840 idy_max:2998 MaxAccum:416
i:845 idy_max:3078 MaxAccum:404
i:850 idy_max:1028 MaxAccum:628
i:855 idy_max:286 MaxAccum:345
i:860 idy_max:3571 MaxAccum:567
i:865 idy_max:2250 MaxAccum:399
i:870 idy_max:44 MaxAccum:254
i:875 idy_max:2097 MaxAccum:238
i:880 idy_max:2246 MaxAccum:281
i:885 idy_max:510 MaxAccum:208
i:890 idy_max:178 MaxAccum:252
i:895 idy_max:109 MaxAccum:196
i:900 idy_max:819 MaxAccum:204
i:905 idy_max:565 MaxAccum:193
i:910 idy_max:1650 MaxAccum:269
i:915 idy_max:2434 MaxAccum:572
i:920 idy_max:3597 MaxAccum:341
i:925 idy_max:1842 MaxAccum:216
i:930 idy_max:2414 MaxAccum:359
i:935 idy_max:1575 MaxAccum:315
i:940 idy_max:3607 MaxAccum:560
i:945 idy_max:1920 MaxAccum:166
i:950 idy_max:2443 MaxAccum:351
i:955 idy_max:3597 MaxAccum:394
i:960 idy_max:1654 MaxAccum:186
i:965 idy_max:2326 MaxAccum:442
i:970 idy_max:3541 MaxAccum:432
i:975 idy_max:2631 MaxAccum:179
i:980 idy_max:2353 MaxAccum:428
i:985 idy_max:2628 MaxAccum:238
i:990 idy_max:816 MaxAccum:654
i:995 idy_max:2909 MaxAccum:402
i:1000 idy_max:1625 MaxAccum:306
i:1005 idy_max:2909 MaxAccum:413
i:1010 idy_max:2290 MaxAccum:457
i:1015 idy_max:2288 MaxAccum:336
i:1020 idy_max:431 MaxAccum:350
i:1025 idy_max:2999 MaxAccum:647
i:1030 idy_max:449 MaxAccum:493
i:1035 idy_max:625 MaxAccum:310
i:1040 idy_max:3571 MaxAccum:475
i:1045 idy_max:1920 MaxAccum:325
i:1050 idy_max:2097 MaxAccum:247
i:1055 idy_max:2031 MaxAccum:295
i:1060 idy_max:653 MaxAccum:202
i:1065 idy_max:2459 MaxAccum:426
i:1070 idy_max:451 MaxAccum:230
i:1075 idy_max:2250 MaxAccum:234
i:1080 idy_max:2460 MaxAccum:395
i:1085 idy_max:2220 MaxAccum:385
i:1090 idy_max:163 MaxAccum:244
i:1095 idy_max:1655 MaxAccum:265
i:1100 idy_max:2256 MaxAccum:402
i:1105 idy_max:3611 MaxAccum:391
i:1110 idy_max:1920 MaxAccum:224
i:1115 idy_max:2300 MaxAccum:462
i:1120 idy_max:3576 MaxAccum:423
i:1125 idy_max:2347 MaxAccum:485
i:1130 idy_max:3567 MaxAccum:620
i:1135 idy_max:97 MaxAccum:223
i:1140 idy_max:2959 MaxAccum:334
i:1145 idy_max:2537 MaxAccum:262
i:1150 idy_max:1654 MaxAccum:181
i:1155 idy_max:2301 MaxAccum:353
i:1160 idy_max:2909 MaxAccum:385
i:1165 idy_max:2291 MaxAccum:495
i:1170 idy_max:1746 MaxAccum:266
i:1175 idy_max:467 MaxAccum:402
i:1180 idy_max:488 MaxAccum:496
i:1185 idy_max:588 MaxAccum:430
i:1190 idy_max:2246 MaxAccum:427
i:1195 idy_max:2032 MaxAccum:394
i:1200 idy_max:2354 MaxAccum:422
i:1205 idy_max:2317 MaxAccum:481
i:1210 idy_max:447 MaxAccum:223
i:1215 idy_max:2220 MaxAccum:460
i:1220 idy_max:2085 MaxAccum:292
i:1225 idy_max:2254 MaxAccum:268
i:1230 idy_max:2862 MaxAccum:375
i:1235 idy_max:3590 MaxAccum:353
i:1240 idy_max:3624 MaxAccum:259
i:1245 idy_max:2917 MaxAccum:358
i:1250 idy_max:3574 MaxAccum:472
i:1255 idy_max:2807 MaxAccum:349
i:1260 idy_max:3495 MaxAccum:220
i:1265 idy_max:1919 MaxAccum:231
i:1270 idy_max:2085 MaxAccum:224
i:1275 idy_max:2595 MaxAccum:340
i:1280 idy_max:2291 MaxAccum:435
i:1285 idy_max:488 MaxAccum:357
i:1290 idy_max:2909 MaxAccum:385
i:1295 idy_max:1570 MaxAccum:437
i:1300 idy_max:606 MaxAccum:245
i:1305 idy_max:588 MaxAccum:241
i:1310 idy_max:2297 MaxAccum:410
i:1315 idy_max:741 MaxAccum:331
i:1320 idy_max:2321 MaxAccum:470
i:1325 idy_max:2002 MaxAccum:346
i:1330 idy_max:1052 MaxAccum:467
i:1335 idy_max:2231 MaxAccum:376
i:1340 idy_max:1115 MaxAccum:452
i:1345 idy_max:530 MaxAccum:432
i:1350 idy_max:2031 MaxAccum:296
i:1355 idy_max:3571 MaxAccum:757
i:1360 idy_max:1920 MaxAccum:199
i:1365 idy_max:1974 MaxAccum:233
i:1370 idy_max:2301 MaxAccum:422
i:1375 idy_max:2734 MaxAccum:315
i:1380 idy_max:2291 MaxAccum:480
i:1385 idy_max:449 MaxAccum:264
i:1390 idy_max:488 MaxAccum:275
i:1395 idy_max:2521 MaxAccum:213
i:1400 idy_max:588 MaxAccum:235
i:1405 idy_max:3625 MaxAccum:1361
i:1410 idy_max:3590 MaxAccum:1387
i:1415 idy_max:3596 MaxAccum:1367
i:1420 idy_max:3623 MaxAccum:1438
i:1425 idy_max:1051 MaxAccum:402
i:1430 idy_max:2303 MaxAccum:363
i:1435 idy_max:1522 MaxAccum:411
i:1440 idy_max:2429 MaxAccum:385
i:1445 idy_max:2263 MaxAccum:365
i:1450 idy_max:1051 MaxAccum:537
i:1455 idy_max:1730 MaxAccum:511
i:1460 idy_max:3625 MaxAccum:375
i:1465 idy_max:1730 MaxAccum:547
i:1470 idy_max:570 MaxAccum:512
i:1475 idy_max:1115 MaxAccum:402
i:1480 idy_max:781 MaxAccum:317
i:1485 idy_max:2309 MaxAccum:464
i:1490 idy_max:488 MaxAccum:304
i:1495 idy_max:467 MaxAccum:243
