Si:0 Mi:2089
Si:1 Mi:623
Si:2 Mi:2019
Si:3 Mi:2111
Si:4 Mi:693
Si:5 Mi:2049
Si:6 Mi:3533
Si:7 Mi:3563
Si:8 Mi:1628
Si:9 Mi:1628
Si:10 Mi:2192
Si:11 Mi:1114
Si:12 Mi:3607
Si:13 Mi:3574
Si:14 Mi:1625
Si:15 Mi:1192
Si:16 Mi:2623
Si:17 Mi:1472
Si:18 Mi:82
Si:19 Mi:1827
Si:20 Mi:1827
Si:21 Mi:2734
Si:22 Mi:2786
Si:23 Mi:1853
Si:24 Mi:35
Si:25 Mi:286
Si:26 Mi:587
Si:27 Mi:179
Si:28 Mi:587
Si:29 Mi:447
Si:30 Mi:653
Si:31 Mi:1583
Si:32 Mi:1583
Si:33 Mi:2254
Si:34 Mi:2192
Si:35 Mi:3520
Si:36 Mi:1628
Si:37 Mi:2196
Si:38 Mi:3563
Si:39 Mi:1628
Si:40 Mi:3610
Si:41 Mi:1628
Si:42 Mi:2962
Si:43 Mi:3574
Si:44 Mi:3056
Si:45 Mi:2924
Si:46 Mi:2303
Si:47 Mi:3590
Si:48 Mi:2723
Si:49 Mi:3237
Si:50 Mi:3607
Si:51 Mi:2678
Si:52 Mi:1333
Si:53 Mi:1827
Si:54 Mi:2501
Si:55 Mi:1988
Si:56 Mi:69
Si:57 Mi:1827
Si:58 Mi:2199
Si:59 Mi:1052
Si:60 Mi:46
Si:61 Mi:723
Si:62 Mi:548
Si:63 Mi:3161
Si:64 Mi:587
Si:65 Mi:587
Si:66 Mi:261
Si:67 Mi:2231
Si:68 Mi:2254
Si:69 Mi:429
Si:70 Mi:1650
Si:71 Mi:3621
Si:72 Mi:3067
Si:73 Mi:3459
Si:74 Mi:1650
Si:75 Mi:3563
Si:76 Mi:1628
Si:77 Mi:1650
Si:78 Mi:3610
Si:79 Mi:2991
Si:80 Mi:2873
Si:81 Mi:3564
Si:82 Mi:3044
Si:83 Mi:3071
Si:84 Mi:2668
Si:85 Mi:1829
Si:86 Mi:3607
Si:87 Mi:3057
Si:88 Mi:3607
Si:89 Mi:2909
Si:90 Mi:1625
Si:91 Mi:1988
Si:92 Mi:2657
Si:93 Mi:1255
Si:94 Mi:3078
Si:95 Mi:2288
Si:96 Mi:2666
Si:97 Mi:342
Si:98 Mi:1028
Si:99 Mi:587
Si:100 Mi:286
Si:101 Mi:2222
Si:102 Mi:2032
Si:103 Mi:3621
Si:104 Mi:3591
Si:105 Mi:3459
Si:106 Mi:1628
Si:107 Mi:1650
Si:108 Mi:1629
Si:109 Mi:3610
Si:110 Mi:3607
Si:111 Mi:1254
Si:112 Mi:2433
Si:113 Mi:2275
Si:114 Mi:2155
Si:115 Mi:3051
Si:116 Mi:2768
Si:117 Mi:2623
Si:118 Mi:2275
Si:119 Mi:3028
Si:120 Mi:2631
Si:121 Mi:2564
Si:122 Mi:3592
Si:123 Mi:2192
Si:124 Mi:2643
Si:125 Mi:2909
Si:126 Mi:1959
Si:127 Mi:2721
Si:128 Mi:3000
Si:129 Mi:3000
Si:130 Mi:2998
Si:131 Mi:3119
Si:132 Mi:568
Si:133 Mi:179
Si:134 Mi:179
Si:135 Mi:261
Si:136 Mi:2231
Si:137 Mi:790
Si:138 Mi:1650
Si:139 Mi:3463
Si:140 Mi:3591
Si:141 Mi:2202
Si:142 Mi:3591
Si:143 Mi:2202
Si:144 Mi:2085
Si:145 Mi:1254
Si:146 Mi:2437
Si:147 Mi:3610
Si:148 Mi:2085
Si:149 Mi:1254
Si:150 Mi:2259
Si:151 Mi:3607
Si:152 Mi:2155
Si:153 Mi:2085
Si:154 Mi:2326
Si:155 Mi:3597
Si:156 Mi:2085
Si:157 Mi:2353
Si:158 Mi:3607
Si:159 Mi:2085
Si:160 Mi:3028
Si:161 Mi:2566
Si:162 Mi:2570
Si:163 Mi:2713
Si:164 Mi:2909
Si:165 Mi:2278
Si:166 Mi:2288
Si:167 Mi:548
Si:168 Mi:2998
Si:169 Mi:3078
Si:170 Mi:1028
Si:171 Mi:286
Si:172 Mi:3571
Si:173 Mi:2250
Si:174 Mi:44
Si:175 Mi:2097
Si:176 Mi:2246
Si:177 Mi:510
Si:178 Mi:178
Si:179 Mi:109
Si:180 Mi:819
Si:181 Mi:565
Si:182 Mi:1650
Si:183 Mi:2434
Si:184 Mi:3597
Si:185 Mi:1842
Si:186 Mi:2414
Si:187 Mi:1575
Si:188 Mi:3607
Si:189 Mi:1920
Si:190 Mi:2443
Si:191 Mi:3597
Si:192 Mi:1654
Si:193 Mi:2326
Si:194 Mi:3541
Si:195 Mi:2631
Si:196 Mi:2353
Si:197 Mi:2628
Si:198 Mi:816
Si:199 Mi:2909
Si:200 Mi:1625
Si:201 Mi:2909
Si:202 Mi:2290
Si:203 Mi:2288
Si:204 Mi:431
Si:205 Mi:2999
Si:206 Mi:449
Si:207 Mi:625
Si:208 Mi:3571
Si:209 Mi:1920
Si:210 Mi:2097
Si:211 Mi:2031
Si:212 Mi:653
Si:213 Mi:2459
Si:214 Mi:451
Si:215 Mi:2250
Si:216 Mi:2460
Si:217 Mi:2220
Si:218 Mi:163
Si:219 Mi:1655
Si:220 Mi:2256
Si:221 Mi:3611
Si:222 Mi:1920
Si:223 Mi:2300
Si:224 Mi:3576
Si:225 Mi:2347
Si:226 Mi:3567
Si:227 Mi:97
Si:228 Mi:2959
Si:229 Mi:2537
Si:230 Mi:1654
Si:231 Mi:2301
Si:232 Mi:2909
Si:233 Mi:2291
Si:234 Mi:1746
Si:235 Mi:467
Si:236 Mi:488
Si:237 Mi:588
Si:238 Mi:2246
Si:239 Mi:2032
Si:240 Mi:2354
Si:241 Mi:2317
Si:242 Mi:447
Si:243 Mi:2220
Si:244 Mi:2085
Si:245 Mi:2254
Si:246 Mi:2862
Si:247 Mi:3590
Si:248 Mi:3624
Si:249 Mi:2917
Si:250 Mi:3574
Si:251 Mi:2807
Si:252 Mi:3495
Si:253 Mi:1919
Si:254 Mi:2085
Si:255 Mi:2595
Si:256 Mi:2291
Si:257 Mi:488
Si:258 Mi:2909
Si:259 Mi:1570
Si:260 Mi:606
Si:261 Mi:588
Si:262 Mi:2297
Si:263 Mi:741
Si:264 Mi:2321
Si:265 Mi:2002
Si:266 Mi:1052
Si:267 Mi:2231
Si:268 Mi:1115
Si:269 Mi:530
Si:270 Mi:2031
Si:271 Mi:3571
Si:272 Mi:1920
Si:273 Mi:1974
Si:274 Mi:2301
Si:275 Mi:2734
Si:276 Mi:2291
Si:277 Mi:449
Si:278 Mi:488
Si:279 Mi:2521
Si:280 Mi:588
Si:281 Mi:3625
Si:282 Mi:3590
Si:283 Mi:3596
Si:284 Mi:3623
Si:285 Mi:1051
Si:286 Mi:2303
Si:287 Mi:1522
Si:288 Mi:2429
Si:289 Mi:2263
Si:290 Mi:1051
Si:291 Mi:1730
Si:292 Mi:3625
Si:293 Mi:1730
Si:294 Mi:570
Si:295 Mi:1115
Si:296 Mi:781
Si:297 Mi:2309
Si:298 Mi:488
Si:299 Mi:467
Si:300 Mi:2167
Si:301 Mi:528
Si:302 Mi:3627
Si:303 Mi:3390
Si:304 Mi:3316
Si:305 Mi:3578
Si:306 Mi:3460
Si:307 Mi:3623
Si:308 Mi:1051
Si:309 Mi:2299
Si:310 Mi:2115
Si:311 Mi:976
Si:312 Mi:975
Si:313 Mi:790
Si:314 Mi:790
Si:315 Mi:3009
Si:316 Mi:766
Si:317 Mi:2787
Si:318 Mi:2308
Si:319 Mi:1570
Si:320 Mi:2059
Si:321 Mi:528
Si:322 Mi:3463
Si:323 Mi:3432
Si:324 Mi:3348
Si:325 Mi:3316
Si:326 Mi:3578
Si:327 Mi:3419
Si:328 Mi:2307
Si:329 Mi:2551
Si:330 Mi:976
Si:331 Mi:2178
Si:332 Mi:790
Si:333 Mi:764
Si:334 Mi:1115
Si:335 Mi:1052
Si:336 Mi:1052
Si:337 Mi:2186
Si:338 Mi:2004
Si:339 Mi:2734
Si:340 Mi:2059
Si:341 Mi:3265
Si:342 Mi:3366
Si:343 Mi:3338
Si:344 Mi:3361
