Time to vote:2054.17ms
i:0 p:447 n:91 a:6
i:1 p:1654 n:101 a:9
i:2 p:2084 n:108 a:19
i:3 p:2192 n:129 a:27
i:4 p:3607 n:188 a:2
i:5 p:3562 n:137 a:1
i:6 p:3607 n:209 a:0
i:7 p:1628 n:168 a:29
i:8 p:2174 n:130 a:24
i:9 p:1713 n:119 a:23
i:10 p:3574 n:98 a:28
i:11 p:3056 n:233 a:27
i:12 p:1254 n:97 a:12
i:13 p:1908 n:284 a:12
i:14 p:2615 n:77 a:4
i:15 p:57 n:238 a:24
i:16 p:1959 n:142 a:25
i:17 p:2775 n:243 a:11
i:18 p:3009 n:201 a:0
i:19 p:58 n:155 a:28
i:20 p:723 n:174 a:0
i:21 p:286 n:208 a:13
i:22 p:2231 n:154 a:16
i:23 p:1654 n:119 a:9
i:24 p:3591 n:152 a:26
i:25 p:3524 n:134 a:0
i:26 p:2202 n:266 a:8
i:27 p:3554 n:185 a:0
i:28 p:3610 n:258 a:12
i:29 p:3610 n:245 a:12
i:30 p:2857 n:139 a:23
i:31 p:2498 n:116 a:1
i:32 p:3564 n:105 a:29
i:33 p:2982 n:230 a:27
i:34 p:3607 n:203 a:0
i:35 p:2196 n:106 a:19
i:36 p:2558 n:59 a:6
i:37 p:1587 n:149 a:25
i:38 p:1827 n:89 a:26
i:39 p:3116 n:139 a:16
i:40 p:322 n:144 a:7
i:41 p:3161 n:178 a:16
i:42 p:286 n:137 a:13
i:43 p:2030 n:191 a:20
i:44 p:2086 n:90 a:25
i:45 p:3520 n:204 a:17
i:46 p:2202 n:176 a:8
i:47 p:58 n:97 a:11
i:48 p:3592 n:146 a:20
i:49 p:2085 n:114 a:16
i:50 p:2439 n:186 a:25
i:51 p:3601 n:207 a:15
i:52 p:1650 n:104 a:10
i:53 p:2638 n:118 a:18
i:54 p:3607 n:319 a:0
i:55 p:2631 n:56 a:1
i:56 p:3615 n:209 a:10
i:57 p:2570 n:102 a:2
i:58 p:2686 n:109 a:23
i:59 p:2589 n:155 a:29
i:60 p:508 n:179 a:2
i:61 p:1585 n:128 a:4
i:62 p:588 n:142 a:12
i:63 p:261 n:136 a:12
i:64 p:2030 n:172 a:20
