Time to vote:3010.43ms
i:0 p:1882 n:1914 a:4
i:1 p:1935 n:1711 a:5
i:2 p:1908 n:1903 a:4
i:3 p:531 n:2027 a:19
i:4 p:419 n:1794 a:19
i:5 p:531 n:1907 a:19
i:6 p:420 n:1719 a:19
i:7 p:591 n:1989 a:19
i:8 p:438 n:1622 a:19
i:9 p:611 n:1825 a:19
i:10 p:552 n:1838 a:19
i:11 p:437 n:1613 a:19
i:12 p:591 n:1974 a:19
i:13 p:535 n:1544 a:20
i:14 p:395 n:1561 a:19
i:15 p:535 n:1625 a:19
i:16 p:424 n:1532 a:19
i:17 p:629 n:1824 a:19
i:18 p:645 n:1855 a:19
i:19 p:349 n:788 a:20
i:20 p:15 n:797 a:6
i:21 p:13 n:749 a:6
i:22 p:611 n:1130 a:22
i:23 p:612 n:1133 a:21
i:24 p:632 n:981 a:22
i:25 p:3626 n:705 a:19
i:26 p:8 n:709 a:14
i:27 p:340 n:779 a:20
i:28 p:646 n:1744 a:19
i:29 p:8 n:797 a:15
i:30 p:335 n:718 a:20
i:31 p:650 n:1732 a:19
i:32 p:14 n:1366 a:19
i:33 p:348 n:872 a:8
i:34 p:2144 n:289 a:29
i:35 p:452 n:1144 a:20
i:36 p:612 n:1049 a:22
i:37 p:647 n:1013 a:22
i:38 p:78 n:955 a:7
i:39 p:578 n:888 a:22
i:40 p:3626 n:669 a:19
i:41 p:3626 n:704 a:19
i:42 p:351 n:735 a:9
i:43 p:8 n:826 a:15
i:44 p:3585 n:714 a:20
i:45 p:2191 n:1712 a:4
i:46 p:2188 n:1568 a:5
i:47 p:3610 n:639 a:26
i:48 p:2184 n:1714 a:4
i:49 p:14 n:1576 a:20
i:50 p:1628 n:332 a:11
i:51 p:437 n:1098 a:20
i:52 p:516 n:856 a:21
i:53 p:539 n:864 a:21
i:54 p:237 n:829 a:5
i:55 p:180 n:754 a:6
i:56 p:181 n:424 a:21
i:57 p:1747 n:749 a:12
i:58 p:1747 n:885 a:13
i:59 p:2188 n:1597 a:5
i:60 p:20 n:1551 a:20
i:61 p:3601 n:773 a:24
i:62 p:2175 n:1694 a:4
i:63 p:16 n:1712 a:20
i:64 p:1700 n:869 a:4
i:65 p:2155 n:1647 a:4
i:66 p:2026 n:1143 a:19
i:67 p:1667 n:1508 a:4
i:68 p:1606 n:1667 a:4
i:69 p:3594 n:835 a:10
i:70 p:196 n:840 a:6
i:71 p:485 n:774 a:20
i:72 p:465 n:629 a:22
i:73 p:3628 n:549 a:15
i:74 p:3160 n:404 a:13
